Preg_num,ID_num,UNIT,INF.SEX,PARITY,CONCEPTION_DATE,BIRTH_DATE,birth_mo,birth_day,birth_yr,dry.wt,SID,SAMPLE_DATE,Month,Year,Time,RIA.GC.ng.g,logRIA,Days_past_conc,biweek,EIA.Dilution,EIA.GC.dose,EIA.GC.ng.g,EIA.Assay,logEIA,repro_state
Preg_11,ID_11,C3,F,primi,8/22/08,2/20/09,2,20,9,0.051,1669,8/11/08,8,2008,1462.386111,15.1490373,2.717936985,-11,-2 weeks,80,8.097713608,762.1377513,Preg1B,6.636127315,PreG_3
Preg_11,ID_11,C3,F,primi,8/22/08,2/20/09,2,20,9,0.053,1902,1/31/09,1,2009,1462.469444,40.95159252,3.712390699,162,22 weeks,80,14.30363566,1295.423607,Preg1B,7.16659303,3rd_Trimester
Preg_11,ID_11,C3,F,primi,8/22/08,2/20/09,2,20,9,0.088,2333,4/10/09,4,2009,1462.369444,17.57349499,2.8663918,231,32 weeks,80,9.583754162,522.750227,Preg2,6.259103773,Lactating_3
Preg_12,ID_12,C4,M,multi,5/1/13,10/30/13,10,30,13,0.066,10203,10/11/13,10,2013,10:35,29.11531566,3.371264347,163,22 weeks,80,14.35556929,1044.041403,Preg10,6.950854426,3rd_Trimester
Preg_12,ID_12,C4,M,multi,5/1/13,10/30/13,10,30,13,0.047,10467,11/4/13,11,2013,12:08,20.07452549,2.999451623,187,26 weeks,80,6.656862997,679.849838,Preg10,6.521871947,Lactating_3
Preg_12,ID_12,C4,M,multi,5/1/13,10/30/13,10,30,13,0.049,10633,11/25/13,11,2013,9:01,24.75389248,3.208982749,208,28 weeks,80,8.778742604,859.9584592,Preg10,6.756884085,Lactating_3
Preg_12,ID_12,C4,M,multi,5/1/13,10/30/13,10,30,13,0.062,10774,12/6/13,12,2013,11:05,24.06079684,3.180583829,219,30 weeks,80,10.83560597,838.8856234,Preg10,6.732074372,Lactating_3
Preg_12,ID_12,C4,M,multi,5/1/13,10/30/13,10,30,13,0.105,10879,12/25/13,12,2013,9:02,29.89084503,3.397552247,238,32 weeks,80,34.87017701,1594.065235,Preg10,7.374042784,Lactating_3
Preg_12,ID_12,C4,M,multi,5/1/13,10/30/13,10,30,13,0.105,10883,1/7/14,1,2014,8:56,18.70073495,2.928562825,251,34 weeks,80,11.55720224,528.3292452,Preg10,6.26971966,Lactating_3
Preg_12,ID_12,C4,M,multi,5/1/13,10/30/13,10,30,13,0.049,10953,1/13/14,1,2014,11:38,36.83720022,3.60650821,257,36 weeks,80,16.77288,1643.057633,Preg11,7.404314195,Lactating_3
Preg_12,ID_12,C4,M,multi,5/1/13,10/30/13,10,30,13,0.097,10984,1/22/14,1,2014,10:00,31.6365478,3.454313028,266,36 weeks,80,14.3604494,710.6201765,Preg11,6.566138077,Lactating_3
Preg_12,ID_12,C4,M,multi,5/1/13,10/30/13,10,30,13,0.079,8746,3/11/13,3,2013,9:05,17.49567811,2.861953885,-51,-8 weeks,80,19.09956929,1160.48016,Preg2,7.056589129,PreG_3
