Preg_num,ID_num,UNIT,INF.SEX,PARITY,CONCEPTION_DATE,BIRTH_DATE,birth_mo,birth_day,birth_yr,dry.wt,SID,SAMPLE_DATE,Month,Year,Time,Days_past_conc,Takeover_Date,Tkov_Notes,takeover,biweek,EIA.Dilution,EIA.GC.dose,EIA.GC.ng.g,EIA.Assay,logEIA,unit_size,Rank_3,repro_state,rain30,mminT30,std_rain30,std_mminT30
Preg_14,ID_13,C2,M,multi,12/9/08,6/9/09,6,9,9,0.063,2072,3/4/09,3,2009,1462.459722,85,1/29/08,Nafta = new male,none,12 weeks,80,10.29447281,784.3407853,Preg18,6.664843601,small,High,2nd_Trimester,0.6,11.28461538,-0.773076031,1.971830143
Preg_14,ID_13,C2,M,multi,12/9/08,6/9/09,6,9,9,0.064,2103,3/8/09,3,2009,1462.425,89,1/29/08,Nafta = new male,none,12 weeks,80,10.7062838,802.9712848,Preg18,6.688318953,small,High,2nd_Trimester,1.3,8.910344828,-0.769116475,0.010971157
Preg_14,ID_13,C2,M,multi,12/9/08,6/9/09,6,9,9,0.071,2125,3/11/09,3,2009,1462.440972,92,1/29/08,Nafta = new male,none,14 weeks,80,9.231735589,624.1173356,Preg18,6.436338389,small,High,2nd_Trimester,1.3,9,-0.769116475,0.085015435
Preg_14,ID_13,C2,M,multi,12/9/08,6/9/09,6,9,9,0.109,2187,3/25/09,3,2009,1462.422222,106,1/29/08,Nafta = new male,none,14 weeks,80,30.91267288,1361.292017,Preg18,7.21618954,small,High,2nd_Trimester,31.8,9.35,-0.596592969,0.374072908
Preg_14,ID_13,C2,M,multi,12/9/08,6/9/09,6,9,9,0.078,2213,3/30/09,3,2009,1462.395833,111,1/29/08,Nafta = new male,none,16 weeks,80,15.04389651,925.7782467,Preg18,6.830634732,small,High,2nd_Trimester,38.7,9.255555556,-0.557563061,0.296073273
Preg_14,ID_13,C2,M,multi,12/9/08,6/9/09,6,9,9,0.07,2393,4/15/09,4,2009,1462.447222,127,1/29/08,Nafta = new male,none,18 weeks,80,10.65678331,730.7508554,Preg19B,6.594072575,small,High,3rd_Trimester,44.9,9.277777778,-0.522492709,0.314426128
Preg_14,ID_13,C2,M,multi,12/9/08,6/9/09,6,9,9,0.05,2440,4/28/09,4,2009,1462.40625,140,1/29/08,Nafta = new male,none,20 weeks,80,9.384569735,900.9186945,Preg19B,6.803415014,small,High,3rd_Trimester,7.9,9.58,-0.73178352,0.564024961
Preg_14,ID_13,C2,M,multi,12/9/08,6/9/09,6,9,9,0.083,2521,5/14/09,5,2009,1462.358333,156,1/29/08,Nafta = new male,none,22 weeks,80,11.42817427,660.9064638,Preg19B,6.493612323,small,High,3rd_Trimester,7.4,10.21538462,-0.734611774,1.088775454
Preg_14,ID_13,C2,M,multi,12/9/08,6/9/09,6,9,9,0.05,2553,5/20/09,5,2009,1462.366667,162,1/29/08,Nafta = new male,none,22 weeks,80,8.106019889,778.1779094,Preg19B,6.656955173,small,High,3rd_Trimester,8.6,10.22142857,-0.727823964,1.093767022
Preg_14,ID_13,C2,M,multi,12/9/08,6/9/09,6,9,9,0.076,2612,6/2/09,6,2009,1462.413889,175,1/29/08,Nafta = new male,none,24 weeks,80,9.446932814,596.6483883,Preg19B,6.391327976,small,High,3rd_Trimester,19.3,10.11,-0.667299324,1.001740563
